"","X.1","X","text","scores"
"198",198,198,"Demonetization – How does it impact the common man 
Read our views here",0
"199",199,199,"narendramodi Ji

An unbiased POLL
Of the people
By the people
For the people
of UDUEUUUUUDU abt
demonetization
edUAUBDedUBUCedUAUBCedUBFUBBedUAUBDedUBUFedUAUBDedUBU",0
"200",200,200,"narendramodi
st Phase deposits of demonetization is The Real Currency Requirement of our nation as liquid cash",0
"201",201,201,"IndiaFightsCorruption The honest feel vindicated by the historic move on Demonetizationarunjaitley jiBJP Parliamenta…",0
"202",202,202,"Just think 

What If RBI removedandnotes without telling anyone Ruling and opposition 

shock n surpriseedUAUBDedUBUB

demonetization",0
"203",203,203,"Watch Somebody made a spoof video on demonetization with AeDilHaiMushkil trailer and its hilarious…",0
"204",204,204,"Gadgets After the demonetization searches about NarendraModis app are trending on app stores",0
"205",205,205,"MamataOfficial After Demonetization max amount was deposited in JanDhanAccount in WB What is the matter How u brought so…",0
"206",206,206,"Indias capacity utilization rate on neg trendwont be helped in short term by investment and consumption shock due to demonetization",0
"207",207,207,"Additonal SecretaryEconomic Affairs GOI MM Kutty called on CM Khandu to discuss on demonetization…",0
"208",208,208,"One of the greatest computer scientists Dr Vijay Bhatkars views on demonetization decision by Hon PM narendramodi h…",0
"209",209,209,"ArshadWarsi thanks Hon PM narendramodi for the decision on demonetization and BlackMoney",0
"210",210,210,"Survey result so far by PMOIndia on Demonetizationlakh response inhrssupports note ban…",0
"211",211,211,"RTUCFDrGPradhanUCF

This tweet of minimathur BIBI explains why she is having a prob with demonetization In first p…",0
"212",212,212,"Retweeted Harsh K Kapoor harshkkapoor

DeMonetization survey results afterhours
Lacs opinions
Amazing",0
"213",213,213,"RatanTata supports PM Narendra Modi for Demonetization",0
"214",214,214,"Lower interest rate will ultimately lead to more buyers because of LowerEMI HappyHomes Demonetization",0
"215",215,215,"Gadgets After the demonetization searches about NarendraModis app are trending on app stores",0
"216",216,216,"This tweet of minimathur BIBI explains why she is having a prob with demonetization In first part she says s…",0
"217",217,217,"Police men beats industrialists Ambani groups Black Money holders for standing in queue Demonetization This cop des…",0
"218",218,218,"After the demonetization searches about NarendraModis app are trending on app stores",0
"219",219,219,"What do think of the demonetisation of notes demonetization poll RBI Modi",0
"220",220,220,"On IndiaToday at pm DeMonetization",0
"221",221,221,"Total population effected by demonetization 
Internet users 
Smartphone usersmillion 
 lakh app responses",0
"222",222,222,"So CJIThakur says there will be riots due to DeMonetization Qs

No SpicesNSecrets 

No riots due to citizens Waiting…",0
"223",223,223,"The whos who of Indian scams line up
demonetization",0
"224",224,224,"How to convert all your black money into white following the DeMonetization How to…",0
"225",225,225,"SrBachchan sir you are in favour of demonetization and JayaBachchan joins tmc in protest against DeMonetisation is she had lots of bkUB",0
"226",226,226,"On the topic of demonetization we have an idea what you can do with those old notesgo out fill up amp explore Uncha…",0
"227",227,227,"narendramodi PMOIndia PMOinIndia demonetization Demonetisationsurvey App is not working on windows phone U PMModi",0
"228",228,228,"Who is most corruption party

DeModitisationMarch
BlackMoney 
demonetization 
congress
aap
BJP
other",0
"229",229,229,"sardesairajdeep timesofindia SurpriseSurprise So thats why MamataOfficial has been protesting Demonetization from day one",0
"230",230,230,"Demonetization K Crore Deposited In JanDhanAccount Most From Bengal Karnataka The reason for protestsNDTV",0
"231",231,231,"Demonetization is a bit like Marxism Great on paper but impractical on ground",0
"232",232,232,"rsprasad bcoz they only have black money and they dont have facts or points to talk abt demonetization",0
"233",233,233,"Superb innovation by paytm Paytmapp starts acting as a card swiping machine Demonetization",0
"234",234,234,"The effect of Demonetization 
ravishndtv ShekharGupta hvgoenka mrsfunnybones GabbbarSingh Iamanirudhsethi",0
"235",235,235,"Minor inconvenience for major convenience of Vijay Mallya and friends demonetization",0
"236",236,236,"Left is going to file a petition in SC against govts decision on demonetizationMy que is why the hell dont you debate i…",0
"237",237,237,"GST Council got postponed today Pakistan has consecutively breached LOC the last week 
Bad state of Railways
Demonetization effect",0
"238",238,238,"Thats whypublic in favor of DeMonetization",0
"239",239,239,"The ratio of people inconvenienced by demonetization to those taking the survey on the NaMo app would beor perhaps worse",0
"240",240,240,"So a story that tells you the flipside of the digital revolution Paytm and Demonetization are busy celebrating My phone go…",0
"241",241,241,"Now country is divided into two religion Modi ampAntiModiwhose riot potentially can way bigger than other riots
Demonetization",0
"242",242,242,"HPCL Bangalore RO Helping Banks with Demonetization Drive",0
"243",243,243,"With due respect to the modi govt amp not meaning to offend any of his supportersdemonetization might be good or bad or whatevertbc",0
"244",244,244,"Narendra Modi App Demonetization Survey Results are out",0
"245",245,245,"BEFORE and AFTER Gandhi ji heard they are standing there against Demonetization",0
"246",246,246,"Vidyut Real Estate is Indian 
Gold is global 
And you want to fire narendramodi on demonetization",0
"247",247,247,"Gave a cheque to a local car mechanic today He gladly took itampnarrated his life story to keep me entertained demonetization",0
"248",248,248,"I reserve the right to seriously judge anyone who uses these stats to justify demonetization knowing how the survey is…",0
"249",249,249,"suryanavinon how the current wave of Demonetization is the apt way towards digitization of the Indian economy",0
"250",250,250,"Indians supports PM Modis demonetization All political parties raising hue and cry on this issue surrender please and let it be",0
"251",251,251,"Retweeted Harsh K Kapoor harshkkapoor

DeMonetization survey results afterhours
Lacs opinions
Amazing",0
"252",252,252,"YSRCP Chief YS Jagan Mohan Reddys response to a media friends question
Demonetization YSJagan Ysrcp NCBN Tdp",0
